first,second,third,Label
so you missed me ?,i did till about <number> minutes ago,from how long you were missing me,others
i know the scientist 😂,there ' s a point 😂,haha,happy
and what about you ?,m gr8 . <repeated> so hws life,same here,others
give your watsapp number,"when i reach there , i will give you .",ok,others
search you tube,i searched . <repeated> nothing useful,press ok watch movie you tube,others
no you idiot,do not say that . <sad>,i am in parry ' s corner,others
sure,"ok , thanks a lot ! if you are still available we can do it now <tong>",no you first,others
what are games that i can play,the dating game .,let play,others
so tell me,about what ?,what should i do in improving conversation,others
idk,what,i dont know,others
wanna go for ride,you coming ?,yes,others
yes,"sweet , connecting now <wink>",complete your breakfast,others
nothing,c ' mon . tell me ! tell me ! tell me !,i am so happy,happy
you,no i do not,who is lol,others
no i will have right now . <repeated> this food is amazing,that ' s a tip . not the food that i am eating currently .,do you know what is it ?,others
stop talking,ok sorry i will never speak again,do not talk to me anymore,angry
yes,too much gum .,i like,others
you send you pics,guhh i ate itc,send your pick,others
love u more and more,u r to <elongated> cute . <repeated> 😂,love you my cutti pie,happy
but were we once dead to be born ?,the world was blessed with us,haha,happy
ok,how was it ?,that was hilarious,happy
good,y is that good ?,good is good it do not need any reason to be good,others
talking to my girlfriend,talking on the fone ?,chat,others
i know that honesty is best policy but it ' s for love,"but when you do not believe the truth , would you really prefer the harsh lie ?",when told you that i do not believe in truth,others
not any plans,pfft no ( i mean that as in i dont have plans ),yes,others
n u,smiles how are you ?,how are your parents ?,others
i am a mystery,your all the mysteries,your so cute,others
i have <number> friends,you are not allowed to,bye,others
you,you who,you tell me,others
perhaps <number> years,<number> as well,and where are you from,others
so how is life at ur end,"ah , life ' s good . going on . the same old ! what about you ?",same old shit few minutes back,others
u know this game,to be released ?,its already realeased,others
i dont know,i can not help it,<allcaps> why </allcaps>,others
always,me all the time and every day,i love you,others
do not ever dare to talk with me you dumb fool,i will not,unfriend me,angry
i am . waiting for your pic,<allcaps> i look really ugly hahaha one sec </allcaps>,its okay . send me pic,others
u says bad words to coc,ya but what exactly,i want a girlfriend,others
appologies if that came out as mean words,then i apologize as well for misunderstanding what you meant . what exactly did you mean ?,nothing lets change the topic,others
ok,oh thats the matter ? um then what can i ask u ?,whatever u want,others
i want to become a <allcaps> ceo </allcaps> as of now,"becoming <allcaps> ceo </allcaps> is easy , open a company declare yourself <allcaps> ceo </allcaps> of x .",haha,happy
have you a boyfriend,"yes i do , why you ask ?",can i not ask,others
okk4,ohk,which is the trending movie now,others
yeah thats true,so u have any gf ? <repeated>,👍,others
nope i do not basically interfere in between,sure you do not . <repeated> still in denial ?,yeah,others
nth just woke up,"ow , just woke up ?",yes,others
android phone is better,iphone and i have a android,that ' s nice,others
be sure about that,i will just put some blankets over it that should work,blankets over what ?,others
what are the things with you,<number> of my vital organs and ice cream,haha,happy
pls,can not go hakuna without seeing them -_- 😬 😬,not your pic,others
that was a little dumb,has <elongated> ! <laugh> not expected .,shut up,angry
your work,i have been .,no english speaking,others
my all friends are smelly af,you are not even funny (^.^),😂 👅,happy
"i do too , and you are quite low on the list right now",you are not trying if you are not on a list .,dude what,others
the greatest ever football player,"\ ' greatest ever \ ' - tricky words there , when talking about football clubs especially .",yeah he does that always,others
everything ' s cool,everything ' s good just work and started back school,send me the pic of ur boobs,others
i m serious nd u r lowering my temperature,i am never serious <tong>,hmm,others
i am very happy today,good for you <happy>,yes,happy
i am tired of them i dont want to listen them,you live in there house . if you do not listen to them get an apartment . <repeated>,i live in a apartment,others
did u father cast amir khan in that movie 😂,i have not seen the movie .,good,others
really,yes 😱,hmm,others
thinking about you,who me ? ! <repeated>,yes my love,others
lol i was kidding,the jokes on you,lol i was kidding,happy
we have been talking sinve,about what ?,since *,others
that how much i m understandable,why is that,ok,others
dance tv shows,this is how i watched all of breaking bad,why so ? <repeated>,others
logical movie reviews what,read ' s review on,where can i find it out,others
i do one more course,i ' d love to sit in it next to yours next time <happy>,intercourse,others
you my lover,if you wanna be . <repeated>,bettery is low,others
blonde,how do you keep a blonde in suspense ?,by fucking her,others
then stop this convo here,i hope you remember me sometime soon . bye,do not text me back,angry
slept ? <repeated>,sleep is the best .,yes i m alone,others
ok,hey you do not belong here !,you can giv me your pic,others
y ty wink by at u,you are welcome : <number>,so where u from,others
<allcaps> true </allcaps>,thumbs up,taste the thunder,others
i should go bank or house,stay,th,others
nothing,of <elongated> . <repeated> whats gone wrong ? <repeated>,where are you from,others
r8,ki6u hoini baby . <repeated>,not feeling well,sad
"yes i can , t c u r face clearly",you are sweet ! <kiss>,how u know,others
where,bol here you go,i will tell something,others
u wanna take my all details ?,sure,for what ?,others
which score,lord of the rings !,cool,others
nothing leave it pretty,i cant leave u anymore,👆,others
please leave me,of course i will not <kiss>,my lover was comming,sad
wer do i send my lolly,i wll mail,for u,others
hey ? ! <repeated>,i know . <repeated> how have you been ?,me not good,sad
no my dear sister,what made you say this ? haha . 😁,send me your pic,others
that is truth,' truth ' is subjective .,true again,others
answer this first,i will but why ?,because you should,others
tnx,you are welcome bro 😌,hey u girl and boy,others
cool,i am a zombie .,woww,happy
i meant how do you reply so fast,<allcaps> told you i read fast </allcaps>,?,others
i gave an exam today,how was it ?,it wasn ' t nice,sad
why,because i do not want to,this is very decent conversation,others
then go n get one,where do i even get it ?,hair color shop,others
sorry i have no visa,ok thanks anyway <happy>,i am waiting for u,others
woah,dude,am i invited ?,others
next week,when does it start again ?,may be next week,others
what is your world ?,a long drive with you 😍,what is your world ?,others
what,its the way of ending something,what to end,others
nothing,what about to the other side ?,you do the backcovers ?,others
